Sesión,Fase,Ejercicio,Dosis Sugerida,Músculo/Enfoque
Sesión 1,Calentamiento,Rotación de muñecas y hombros,2 min,Articular
Sesión 1,Calentamiento,Flexiones en pared (lentas),1 serie x 12,Activación
Sesión 1,Fuerza,Flexiones estándar o inclinadas,3 series,Pecho
Sesión 1,Fuerza,Flexiones diamante,2 series,Tríceps
Sesión 1,Cardio,Salto de soga,5-10 min,Aeróbico
Sesión 1,Estiramiento,Apertura en puerta,2 min,Pecho
Sesión 2,Calentamiento,Gato-Camello (Cat-Cow),2 min,Columna
Sesión 2,Calentamiento,Escápula Pull-ups (colgado),1 serie x 10,Activación
Sesión 2,Fuerza,Remo invertido (Australian),3 series,Espalda
Sesión 2,Fuerza,Dominadas supinas (Chin-ups),2 series,Bíceps
Sesión 2,Cardio,Trote suave,15 min,Resistencia
Sesión 2,Estiramiento,Postura del niño,2 min,Espalda
Sesión 3,Calentamiento,Círculos de cadera y tobillos,2 min,Articular
Sesión 3,Calentamiento,Sentadillas al aire (muy lentas),1 serie x 15,Activación
Sesión 3,Fuerza,Sentadillas clásicas,3 series,Cuádriceps
Sesión 3,Fuerza,Zancadas (Lunges),3 series,Glúteo
Sesión 3,Cardio,Sprints (3 x 40m),Breve,Potencia
Sesión 3,Estiramiento,Estiramiento de cuádriceps,2 min,Pierna
Sesión 4,Calentamiento,Paseo del oso (Bear Crawl),1 min,Activación
Sesión 4,Calentamiento,Y-W-T (Movimientos de brazos al aire),15 reps,Hombros
Sesión 4,Fuerza,Flexiones en pica (Pike pushups),3 series,Hombros
Sesión 4,Fuerza,Plancha abdominal,3 series,Core
Sesión 4,Cardio,Bicicleta,15 min,Movilidad
Sesión 4,Estiramiento,Estiramiento cruzado de brazo,2 min,Hombros
Sesión 5,Calentamiento,Rotación de muñecas en suelo,2 min,Articular
Sesión 5,Calentamiento,Flexiones escapulares,1 serie x 12,Activación
Sesión 5,Fuerza,Flexiones arqueras,3 series,Pecho/Hombro
Sesión 5,Fuerza,Fondos en paralelas o banco,3 series,Tríceps
Sesión 5,Cardio,Salto de soga,5-10 min,Coordinación
Sesión 5,Estiramiento,Estiramiento de muñecas,2 min,Articular
Sesión 6,Calentamiento,Círculos con los brazos extendidos,1 min,Hombros
Sesión 6,Calentamiento,Dead Bug (ejercicio de core suave),12 reps,Activación
Sesión 6,Fuerza,Dominadas pronas (Pull-ups),3 series,Espalda
Sesión 6,Fuerza,Elevación de piernas colgado,3 series,Core
Sesión 6,Cardio,Trote suave,15 min,Aeróbico
Sesión 6,Estiramiento,Torsión espinal sentado,2 min,Columna
Sesión 7,Calentamiento,Sentadilla profunda estática,1 min,Movilidad
Sesión 7,Calentamiento,Puente de glúteo (dos piernas),15 reps,Activación
Sesión 7,Fuerza,Sentadilla cosaca,3 series,Movilidad/Pierna
Sesión 7,Fuerza,Puente de glúteo a una pierna,3 series,Isquios
Sesión 7,Cardio,Sprints (3 x 40m),Breve,Explosividad
Sesión 7,Estiramiento,Couch Stretch,2 min,Flexores
Sesión 8,Calentamiento,Paseo del oso,1 min,Activación
Sesión 8,Calentamiento,Plancha lateral dinámica,10 reps/lado,Core
Sesión 8,Fuerza,L-sit o progresión en suelo,3 series,Core
Sesión 8,Fuerza,Hold de pino asistido,3 series,Hombros
Sesión 8,Cardio,Burpees lentos,10-12 reps,Total
Sesión 8,Estiramiento,Pancake o tocar puntas,2 min,Cadera
